Date,Time,Location,Operator,Flight No,Route,AC Type,Registration,CN / LM,Aboard,Fatalities,Ground,Summary,Latitude,Longitude
"December 01, 1989",09:30,"Patuxent, Maryland",Military - U.S. Army,?,Fort Belvoir - Patuxent River NAS,CASA 212 Aviocar 200,N296CA,296,5,5,0,"The crew inadvertently selected ""Beta Range"" on the propellers at 800 feet. The aircraft then stalled and crashed into the river.",38.539967,-76.747688
"December 01, 1993",19:50,"Hibbing, Minnesota",Express Airlines - Northwest Airlink,5719,Minneapolis/St. Paul - Hibbing,British Aerospace Jetstream BA-3100,N334PX,706,18,18,0,"While on approach, the aircraft collided with trees and terrain 3 miles from the runway threshold in fog and freezing drizzle. Delay by the captain to start the descent which led to a breakdown in crew coordination and the loss of altitude awareness by the flightcrew during an unstabilized approach in night instrument meteorological conditions.",47.42715459999999,-92.9376887
"December 01, 2001",01:43,"Bessemer, Alabama",Air Carriers,?,Little Rock - Bessemer,Cessna 208B Grand Caravan,N499BA,208B-0689,2,2,0,"The cargo plane crashed into high ground less than 5 miles from the airport while on an ILS approach. The poor in-flight planning by the pilot-in-command for his initiation of the ILS approach to runway 05 with weather conditions below minimums for the approach contrary to the Federal Aviation Regulations, and the failure of the pilot to maintain control of the airplane during a missed approach resulting in the in-flight collision with trees then terrain.",33.4017766,-86.954437
"December 01, 2001",12:54Z,"Near Novaya Inya , Russia","Military - Russian, cargo",-,Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,RA-76839,1023411375,18,18,0,A fire broke out aboard the aircraft while en route at FL290. The crew was preparing for an emergency landing when two explosions tore apart the plane causing it to crash.,59.37554600000001,144.862197
"December 02, 1929",?,"Chagrin Falls, Ohio",National Air Transport,?,?,Douglas M-3,NC789,622,1,1,0,The mail plane crashed en route during a storm.,41.4298516,-81.3910999
"December 02, 1938",c 07:55,"Mexico City, Mexico",Mexicana,?,Mexico City - Merida,Lockheed 10E Electra,X-ABAU,?,8,8,0,Crashed and burned on a hill while taking off. The pilot did not have authorization to take off during poor visibility.,19.4326077,-99.133208
"December 02, 1966",?,"Moscow, Russia",Aeroflot,?,Moscow - Brazzaville,Tupolev TU-114B,CCCP-76457,88411,21,21,0,Crashed into a snowbank on the takeoff roll in poor visibility.,55.755826,37.6173
"December 02, 1968",09:36,"Pedro Bay, Alaska",Wien Consolidated Airlines,55,Anchorage - Iliamna,Fairchild F-27B,N4905,0049,39,39,0,"Broke up in severe turbulence at 11,500 feet. Failure of the right wing that was weakened by pre-existing fatigue cracks.  The turbulence was not forcast and not known to the flight crew.  Improper maintenance. Incorrect weather forcast.",59.7872222,-154.1061111
"December 02, 1970",?,"Dhaka, Bangladesh",Cargolux,?,?,Canadair CL-44J,TF-LLG,36,4,4,0,The cargo plane crashed while attempting to land. Malfunction of the hydraulic system caused the controls to lock.,23.810332,90.4125181
"December 02, 1977",?,"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,?,Jeddah - Benghazi,Tupolev TU-154B,LZ-BTN,054,165,59,0,"After not being able to land at the scheduled airport due to fog, the crew could not find the alternate airport, ran out of fuel and crashed.",33.883237,35.47941110000001
"December 02, 1998",12:16,"Umpire, Arkansas",Yates Aviation,?,"Mena, AR - Texarcana, TX",Cessna 501 Citation I SP,N501EZ,501-0058,1,1,0,"On a positioning flight, the aircrafted rolled over and crashed inverted 17 miles south of the airport it took off from. The pilot's in flight loss of control for undetermined reasons.",34.2789981,-94.05075269999999
"December 02, 2014",0937,"Off Nassau, New Providence Island, Bahamas",Ferg's Air Charter,?,Governors Harbour - Lynden Pindling Int,Piper PA-31-350 Navajo Chieftain,C6-REV,31-765062,11,1,0,"The pilot of the charter aircraft radoed he had lost power after which he ditched the aircraft in shallow water 550 feet off shore, near Clifton Pier.",25.0519283,-77.4013403
"December 03, 1922",?,"Fez, Morocco",Grands Express Aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,34.0181246,-5.0078451
"December 03, 1928",08:00,"Near Rio de Janeiro,Brazil",Syndicato Condor,?,Sightseeing,Dornier Wal,P-BACA,83,14,14,0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",-22.9068467,-43.1728965
"December 03, 1944",?,Atlantic Ocean,Trans-Canada Air Lines,?,?,Avro 683 Lancaster,CF-CMU,?,5,5,0,?,-14.5994134,-28.6731465
"December 03, 1945",13:30,"Near Rochefort , France",Military -Royal Air Force,?,"India - Cambridge, England",Consolidated LB-30A Liberator,KH125,?,28,28,0,Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.,45.936698,-0.9616969999999999
"December 03, 1972",06:45,"Tenerife,  Canary Islands",Spantax,?,Tenerife - Munchen,Convair CV-990-30A-5 Coronado,EC-BZR,30-10-25,155,155,0,Reached a height of 300 feet  when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility. Crew's loss of situational awareness.,28.4636296,-16.2518467
"December 03, 1979",?,"Nome, Alaska",Evergreen Helicopter - Air Taxi,?,"Nome, AK - Return",de Havilland DHC-6,N8061V,294,4,4,0,"Crashed in snow, low ceiling and fog while en route. Continued VFR flight into adverse weather.",64.5011111,-165.4063889
"December 03, 1987",1600,"Near Kishwati, Rwanda",Cooper Skybird Air Charters,?,Goma-Nairobi,Cessna 404 Titan,5Y-EJS,?,14,14,0,"The aircraft crashed  into a top of a tree 10 km from the airport, about 18 minutes after taking off,",-1.7486281,29.4411476
"December 03, 1990",13:45,"Romulus, Michigan",Northwest Airlines/ Northwest Airlines,299/1482,Detroit - Pittsburg,Boeing B-727-251 / MD Douglas DC-9-14,N278US/N3313L,21157 / 45708/77,198,8,0,Ground collision in dense fog. The 727 was on its takeoff roll when the DC-9 taxied onto the active runway. Improper crew coordination aboard the DC-9.  Failure to stop and alert ATC of positional uncertainty. Eight killed aboard the DC-9. None aboard the B-727.,42.2222614,-83.39659940000001
"December 03, 1993",?,"Tuktoyaktuk, NWT, Canada",Arctic Wings & Rotors,?,Tuktoyaktuk - Inuvik,Britten Norman BN-2A Trislander7,C-GMOP,0398,7,7,0,"Four minutes after taking off the pilot reported he was having engine problems and was returning. The aircraft subsequently crashed onto a frozen lake, 7.7nm from the airfield in darkness.",69.445358,-133.034181
"December 03, 1995",22:44,"Near Douala, Cameroon",Cameroon Airlines,3701,Cotonou - Douala,Boeing B-737-2K9,TJ-CBE,23386/1143,78,72,0,The plane went into a dive and crashed 6 km short of the runway into a swamp during a second attempt at landing. Loss of power in the No. 1 engine.,4.0510564,9.7678687
"December 03, 2007",17:18,"Off Whittier, Alaska","Evergreen Alaska Helicopters, Inc.",?,Cordova - Ancorage,Eurocopter Deutschland BK117C1,N141LG,?,4,4,0,"Crashed into the sea while en route. The pilot's decision to continue VFR flight into night instrument meteorological conditions. Contributing to the accident were the operator's failure to adhere to an FAA-approved and mandated safety risk management program, the FAA's failure to provide sufficient oversight of the operator to ensure they were in compliance with the risk management program, the pilot's lack of experience in night winter operations in Alaska, and the operator's lack of an EMS dispatch and flight following system.",60.77305560000001,-148.6838889
"December 03, 2008",12:13,"San Juan, Puerto Rico",Webstas Aviation Services Inc.,?,"Tortola Virgin Islands - San Juan, PR",Rockwell International 690B,N318WA,11444,3,3,0,"The plane struck the side of El Yunque mountain 2,310 feet, east of San Juan in heavy fog.",18.4655394,-66.1057355
"December 03, 2014",0930,"Near Mariquita, Colombia",Nacional de Aviación,?,Guaymaral - Bahia Solano,Piper PA-31 350 Navajo Chieftain,HK-4464,31-7952229,10,10,0,The pilot stated he was making an emergency landing but crashed 8 miles from the Jose Celestino Mutis airport. The impact completely destroyed the plane.,5.199504999999999,-74.88683499999999
"December 04, 1935",?,"Tours, France",Air Bleu,?,?,Caudron C-630 Simoun,F-ANRK,?,2,1,0,?,47.394144,0.68484
"December 04, 1936",?,"Near Grenoble, France",Deutsche Lufthansa,?,?,Junkers JU-52/3m,D-ASIH,5078,6,6,0,Crashed into the French Alps  in high winds.,45.188529,5.724524
"December 04, 1940",17:48,"Chicago, Illinois",United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16,10,0,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.,41.8781136,-87.6297982
"December 04, 1946",?,"Meshed, Iran",Aeroflot,?,Meshed - Teheran,Lisunov Li-2,?,?,24,24,0,Crashed shortly after takeoff from Meshed airport.,36.2604623,59.6167549
"December 04, 1951",07:25,"Denver, Colorado",United Air Lines,?,Training,Douglas DC-3A,N17109,4999,3,3,0,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery.",39.7392358,-104.990251
"December 04, 1953",?,"Near Guaderrama, Spain",Aviaco,?,Bilbao - Madrid,Bristol 170 Freighter 21,EC-AEG,12797,33,23,0,Crashed into Mt. Somosierra in poor weather conditions.,40.6731798,-4.0875528
"December 04, 1954",?,"Near Luang Pragang, Laos",Air Laos,?,Luang Prabang - Nam Tha,Douglas DC-3,F-BEIA,19211,28,28,0,Crashed en route on the company's first commercial flight.,19.8833959,102.1346874
"December 04, 1958",17:15,"Guadarrama Mountains, Spain",Aviaco,?,Vigo - Madrid,SNCASE Languedoc,EC-ANR,28,21,21,0,Crashed into La Rodilla de la Mujer Muerta while on approach to Madrid. Loss of control due to icing and turbulence.
"December 04, 1960",22:53,"Chernovo, Russia",Aeroflot,81,Syktyvkar - Moscow,Ilyushin 14M,CCCP-52091,7342905,14,14,0,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,59.55575619999999,29.9815865
"December 04, 1961",?,"Mainz, Germany",Lufthansa,?,Training,Boeing 720-030B,D-ABOK,18058/202,3,3,0,Crashed into an open field in a steep dive after attempting an emergency landing.,49.9928617,8.2472526
"December 04, 1964",19:58,"Fayetteville, Arkansas",Commercial Air Taxi,?,?,Cessna 206,N5089U,?,5,4,0,Collided with trees while attempting to land. Pilot error. Misjudged altitude.,36.0625795,-94.1574263
"December 04, 1965",16:18,"Carmel, New York",Trans World Airlines / Eastern Air Lines,42 / 853,Boston - Newark,Boeing B-707-131B / L1049C Constellation,N748TW/N6218C,18387/286  / 4526,112,4,0,"Midair collision at 11,000 feet. Misjudgment of altitude separation by the crew of EAL 853 because of an optical illusion created by the up-slope effect of cloud tops resulting in an evasive maneuver by the EAL 853 crew and a reactionary evasive maneuver by  the TWA 42 crew. The 707 landed at JFK despite losing 25 feet of the left wing. There were no injuries to the crew of 7 and 51 passengers aboard the 707.  Three of the 46 passengers and 1 crew member aboard  EAL 853 were killed. Misjudgment of altitude separation by the crew of the Constellation because of an optical illusion created by the up-slope effect of cloud tops, resulting in an evasive maneuver by the Constellation crew and a reactionary evasive maneuver by the Boeing crew.",41.4300937,-73.6801297
"December 04, 1969",18:05,"Off Caracas, Venezuela",Air France,212,"Caracas - Pointe a Pitre, Guadeloupe",Boeing B-707-328B,F-BHSZ,18459/335,62,62,0,"At a height of 3,000 ft., the aircraft suddenly nosed  into the sea, 3 minutes after taking off."
"December 04, 1971",13:46,"Raleigh, North Carolina",Eastern Air Lines,?,"Miami, FL - Raleigh, NC",Douglas DC-9-31 /Cessna 206,N8943E / N2110F,47166/265 / ?,29,2,0,Midair collision.  The DC-9 descended onto the Cessna. Two killed aboard the Cessna. The DC-9 landed with no one aboard injured. Inadequacy of ATC facilities and services in the terminal area.,35.7795897,-78.6381787
"December 04, 1974",04:58,"Irkutsk, Russia",Aeroflot,?,Irkutsk - Kazachinskoye,Antonov An-2 / Antonov An-12,49342/12985,1G12-26/00347110,18,13,0,The An-2 crashed after colliding with Antonov 12 over Irkutsk airport. The ATC cleared the An-2 for takeoff crossing An-12s flight path. The An-12 landed safely. Eleven passengers and 2 crew killed on the An-2,52.28697409999999,104.3050183
"December 04, 1974",22:15,"Near Maskeliya, Sri Lanka",Martinair Holland NV,138,Surabaya - Jeddah,McDonnell Douglas DC-8-55F,PH-MBH,45818/242,191,191,0,"The aircraft impacted Mount Anjimalai at 4,355 ft. the during approach. The crew descended below a safe altitude due to a position error resulting from misinterpretation of Doppler and weather radar.",6.832929399999999,80.5709256
"December 04, 1977",c 20:15,"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,653,Penang - Kuala Lumpur,Boeing B-737-2H6,9M-MBD,20585/306,100,100,0,"During a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp.",4.210484,101.975766
"December 04, 1978",19:45,"Near Steamboat Springs, Coloado",Rocky Mountain Airways,217,Steamboat Springs - Denver,de Havilland Canada DHC-6 Twin Otter 300,N25RM,387,22,2,0,"Forced to return to Steamboat Springs due to severe icing, the plane crashed into a 10,530 ft. mountain.  Severe icing and strong downdraughts associated with a mountain wave which combined to exceed the aircraft's capability to maintain flight. Contributing to the accident was the Captain's decision to fly into probable icing conditions that exceeded the conditions authorized by company directives.",40.4849769,-106.8317158
"December 04, 1984",?,"Near Kostroma, USSR",Aeroflot,?,Kostroma -Kvanovo,LET 410 M,CCCP-67225,770706,17,17,0,Spatial orientation caused by failure of the artificial horizon.,57.77748159999999,40.9698928
"December 04, 1990",?,"Nairobi, Kenya",Sudania Air Cargo,?,?,Boeing B-707-320F,ST-SAC,19377/666,10,10,0,"Undershot the runway by 4km on a second approach, hit powerlines and crashed in fog.",-1.2920659,36.8219462
"December 04, 2010",14:49,"Moscow, Russia",Dagestan Airlines,372,"Moscow -Makhachkala, Dagestan",Tupolev Tu-154M,RA-85744,92A-927,169,2,0,"About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;",55.755826,37.6173
"December 05, 1921",?,"Near Murchinson River, Australia",West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,-36.6016558,145.2195321
"December 05, 1931",?,"Kewanee, Illinois",Braniff Airways,?,Kansas City - Chicago,Lockheed Vega 5,NC433E,049,6,2,0,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.,41.2455927,-89.9248303
"December 05, 1937",09:00,"Brindisi Harbor, Italy",Imperial Airways,?,India - London,Short Empire Flying Boat,G-ADUZ,?,19,2,0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,40.6327278,17.9417616
"December 05, 1945",20:00,Off the Florida coast,Military - U.S. Navy,19,?,Five Grumman TBM Avengers,?,?,14,14,0,"The five aircraft, (23307) (73209) (46325) (46094) (45714), flying out of the U.S. Naval Air Station at Fort Lauderdale, on a training mission,  became lost, ran out of fuel and crashed into the Atlantic Ocean.  No trace of the planes were ever found. This was the incident that began the ""Bermuda Triangle"" legend.",28.2813711,-80.65458629999999
"December 05, 1948",?,"Kiangwan, China",Central Air Transport,?,?,Curtiss C-46,XT-538,?,40,9,0,"Overshot runway, crashed and burned."
"December 05, 1969",15:00,"Nnear Albuquerque, New Mexico",Private,?,?,Lockheed 18-08 Lodestar,N410M,18-2203,9,9,0,The VFR rated pilot continued flight in poor weather. Airframe icing caused the left wing to fail in flight. The aircraft lost control and crashed. The Lodestar was not equipped with deicing boots.,35.0853336,-106.6055534
"December 05, 1970",?,"Delhi, India",Jamair,?,?,Douglas DC-3,VT-CZC,12103,16,5,0,"The No. 2 engine failed on takeoff due to fuel starvation. The plane made a right turn, lost control and crashed.",28.7040592,77.10249019999999
"December 05, 1972",15:05,"Beni Sueif, Egypt",EgyptAir,?,Training,Boeing 707-336C,SU-AOW,19845/809,6,6,0,Crashed after the No. 4 engine separated from the plane.,29.0661274,31.0993845
"December 05, 1972",?,"Myrtle Beach, South Carolina",Military - U.S. Air Force,?,?,Lockheed C-130E Hercules,64-0558,4059,12,12,0,"During a training exercise a  F-102A  jet fighter collided with the C-130, causing both planes to crash.",33.6890603,-78.8866943
"December 05, 1980",?,"Dar es Salaam, Tanzania",Tanzania Aviation,?,Dodoma - Dar es Salaam,Piper PA-42 Cheyenne,5H-TAL,?,10,10,0,The aircraft broke-up in flight in bad weather.,-6.792354,39.2083284
"December 05, 1981",19:08,"Honolulu, Hawaii",Private - Parajump air show,?,"Haliive, HI  - Honolulu, HI",Beech C-45H,N8185H,AF-381,12,11,0,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity.",21.3069444,-157.8583333
"December 05, 1995",17:55,"Near Nakhichevan, Azerbaijan, Russia",Azerbaijani Airlines,?,Nakhichevan - Baku,Tupolev TU-134B-3,4K-65703,63383,82,54,0,The aircraft crashed shortly after takeoff while attempting to make an emergency landing after the pilot reported problems with the left engine. Vibration caused nuts to work loose from the engine turbine which resulted in engine failure. No fault was found with the right engine and it is believed that it may have been inadvertently shut down by the crew.,39.3256814,45.4912647
"December 05, 1997",14:46,"Irkutsk-2, Russia",Military - Russian Air Force,?,Irkutsk - Vladivostok,Antonov AN-124-100,RA-82005/08,4516003,23,23,44,"The military aircraft, bound for Vladivostok, crashed into a residential neighborhood twenty seconds after taking off. All four engines failed after the computer system began shutting them down shortly after takeoff.  Design flaw which led to uncoordinated operation of the high-pressure compressors.",51.455944,104.508278
"December 05, 1999",05:12,"Moscow, Russia",Tashkent Aircraft Production Corporation,?,"Moscow, Russia - Tashkent, Uzbekistan",Ilyushin 114T,UK-91004,1083800305,7,5,0,"The cargo plane was taxiing for takeoff when a gust of wind caused the rudder to become fully deflected to the left. The captain continued the takeoff despite suggestions from the crew to return to the gate. Shortly after lifting off the runway the plane yawed to the left and collided with the airport perimeter wall, bursting into flames.",55.755826,37.6173
"December 05, 2007",06:48,"Columbus, Ohio",Castle Aviation,?,"Columbus, OH - Buffalo, NY",Cessna 208B Caravan I Super Cargomaster,N28MG,208B-0732,2,2,0,"The cargo plane crashed into a brushy field, inverted, shortly after taking off in heavy snow. Radar data indicated that it was in a left turn at a ground speed of 109 knots before descending and impacting terrain. The plane was carrying checks and other goods for a banking customer. The pilot's failure to maintain aircraft control and collision avoidance with terrain due to spatial disorientation. Contributing to the accident were low cloud ceiling and night conditions.",39.9611755,-82.99879419999999
"December 05, 2012",09:45,"Near Ladysmith, South Africa",Military - South African Air Force,?,Pretoria - Mthatha Airport,Douglas C47-TP,6840,13866/25311,11,11,0,"The military transport went missing while en route. The wreckage was found in the Drakensberg mountains near Ladysmith in KwaZulu-Natal province, some 210 miles southeast of Waterkloof Air Force Base. There was severe weather at the time of the accident.",-28.5596713,29.780789
"December 05, 2013",?,"Near Cachimbo, Brazil",Heringer Taxi Aero,?,Pukanu - Novo Progresso,Britten Norman BN-2A-3 Islander,PT-WMY,314,5,5,0,"While performing an ambulance flight, the aircraft crashed under unknown circumstances in a wooded area killing 3 passengers and 2 pilots.",-8.948941999999999,-54.901562
"December 06, 1923",?,"Castalia, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,318,?,1,1,0,?,41.4000523,-82.80852039999999
"December 06, 1931",05:45,"Bangkok, Thailand",KLM Royal Dutch Airlines,?,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,PH-AFO,5226,7,5,0,"Take off  was made with the  emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne.  At the end of the field, the aircraft crashed into a dam.",13.7563309,100.5017651
"December 06, 1936",?,Near Moscow,Deruluft,?,?,Antonov AN-9,CCCP-D311,?,14,9,0,Pilot error.,55.755826,37.6173
"December 06, 1948",?,"Milan, Italy",Avio Linee ItalianeAvio Linee Italiane,?,Milan - Brussels,Douglas C-47,I-ETNA,4396,7,7,0,The aircraft crashed during takeoff in fog.,45.4654219,9.1859243
"December 06, 1952",04:40,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,?,Madrid - Azores - Bermuda - Havana,Douglas DC-4,CU-T397,10319,41,37,0,"Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called ""The Star of the East."""
"December 06, 1952",?,"Near Sofia, Bugaria",TABSO,?,Sofia - Varna,Lisunov Li-2,?,?,18,18,0,Crashed en route.,42.6977082,23.3218675
"December 06, 1962",c 17:00,"Barrancabermeja, Colombia",Taxader Airlines,209,Bucaramanga - Barrancabermeja,Douglas C-47,HK-437E,4697,26,24,0,Crashed in heavy rain while en route. Pilot error. Flight under VFR in IFR conditions.,7.0617085,-73.8519319
"December 06, 1968",18:20,"St. Thomas, Virgin Islands",Conquest Airways - Air Taxi,?,?,Beechcraft E18S,N433AC,?,11,3,0,Aircraft failed to maintain flying speed during initial climb. Center of gravity aft of limits. Possible misuse of flaps.,18.335361,-64.95340089999999
"December 06, 1969",07:07,"Near Khantanga, Russia",Aeroflot,5135,Syktyvkar - Khatanga,Antonov An-12PL,CCCP-11381,402807,8,8,0,Crashed short of the runway on approach. Icing.,71.964027,102.440613
"December 06, 1971",?,"Tikaka, Sudan",Sudan Airways,?,?,Fokker F-27 Friendship 200,ST-AAY,10238,42,10,0,The aircraft experienced a forced landing after being hijacked and running out of fuel.
"December 06, 1972",?,"Near  Lac Randall, Quebec ,Canada",Superior Airways,?,?,Douglas C-47B-15-DK,CF-AUQ,15281/26726,3,3,0,"The aircraft entered a spiral, while the captain tried to remove ice from the windscreen with a scraper. This caused a violent correction which led to a high speed stall. The DC-3 crashed  12 miles south of Lac Randall in a nose and wing down attitude.",52.9399159,-73.5491361
"December 06, 1984",18:14,"Jacksonville, Florida",Provincetown - Boston Airlines,1039,Jacksonville - Tampa,Embraer 110P1 Bandeirante,N96PB,110-365,13,13,0,"After taking off, the aircraft went into a steep dive, crashed and burned 7,800 ft. beyond the departure end of the runway. Malfunction of the elevator control system or elevator trim system. The reaction of the flight crew to correct the pitch control problem overstressed the left elevator control rod, which resulted in asymmetrical elevator deflection and overstress failure of the horizontal stabilizer attachment structure.",30.3321838,-81.65565099999999
"December 06, 1990",?,"Near Matak, Indonesia",Pelita Air Service,?,?,IPTN 332C Super Puma,PK-PUI,NSP4/2022,12,10,0,The helicopter crashed into the sea.,3.3120912,106.2639825
"December 06, 1999",07:06,"Johannesburg, South Africa",Charter - Flightline Charter Services,-,"Johannesburg, South Africa  - Oranjemund, Namibia",Piper PA-31-350,ZS-OJY,31-7405210,9,9,0,"Shortly after takeoff, the pilot declared an engine failure. Seconds later he stated ""We are going down sir, we are going down."" The plane crashed 2 nm to the right of Runway 29 and burst into flames.  Failure of the exhaust pipe segment which caused the right hand engine to lose power and fail. The aircraft was overloaded. The company's lack of flight operations management experience.",-26.2041028,28.0473051
"December 06, 2004",10:23,"Bellevue, Idaho",Salmon Air - Air Taxi,?,"Salt Lake City, UT - Sun Valley, ID",Cesna 208 Caravan,N25SA,0208B-0866,2,2,0,The aircraft crashed and burned while on approach to Runway 31 at Friedman Memorial Airport. The pilot's failure to maintain aircraft control while on approach for landing in icing conditions. Inadequate airspeed was a factor.,43.4635179,-114.2605998
"December 06, 2005",14:15,"Tehran, Iran",Military - Islamic Republic of Iran Air Force,?,Tehran - Bandar Abbas,Lockheed C-130B Hercules,5-8512,4386,94,94,14,The military plane crashed into an apartment building in the Azari district after taking off from Mehrabad Airport. The plane suffered engine failure and was attempting to return for a emergency landing.,35.6891975,51.3889736
"December 07, 1934",?,"Salchau, Germany",Deutsche Lufthansa,?,?,Junkers F-13,D-OMAS,2008,3,3,0,?,53.8992685,13.6468979
"December 07, 1936",10:47,"Off Dakar, French West Africa",Air France,?,?,Latécoère 300,F-AKGF,1,5,5,0,"Aviator Jean Mermoz killed. The last message from the aviator was ""we have switched off the rear engine."" The plane and crew of four were never found."
"December 07, 1949",17:15,"Vallejo, California",Arrow Airlines,?,Burbank - Oakland - Sacramento,Douglas DC-3,NC60256,9201,9,9,0,"Struck a 1,200 ft. hill obscured by clouds, during a rainstorm, 6 miles east of Vallejo, California. The pilot failed to fly at the assigned altitude of 4,000 feet on his flight plan.",38.1040864,-122.2566367
"December 07, 1960",?,"Cachimbo, Brazil",REAL,?,Cuiaba - Manaus,Curtiss C-46A-60-CK,PP-AKF,295,15,15,0,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.",-8.948941999999999,-54.901562
"December 07, 1963",19:19,"Near Nederland, Colorado",Zantop Air Transport,?,Lowery AFB - Ogden Hill AFB,Curtis C-46A-20-CU,N609,26571,3,3,0,"The cargo plane impacted a vertical rock face at 12,500 ft. Pilot in command executed improper in-flight decisions and planning and exercised poor judgment.",39.9613759,-105.5108312
"December 07, 1965",18:40,"Tenerife, Canary Islands",Spantax,?,"Tenerife - Manchester, England",Douglas DC-3,EC-ARZ,13474,32,32,0,Crashed into high terrain shortly after takeoff. Cause undetermined. Mechanical failure suspected.,28.4636296,-16.2518467
"December 07, 1967",?,"Muong Soui, Laos",Lao Cathay Airlines,?,?,Douglas DC-3,XW-PFM,?,12,10,0,The cargo plane crashed.,19.5271549,102.8960712
"December 07, 1970",?,"Near Constanta, Romania",Tarom,?,Tel Aviv - Constanta,BAC One-Eleven  424EU,YR-BCA,130,27,18,0,Crashed 4 kms short of the runway on approach in poor weather after being diverted to Bucurest.,44.1598013,28.6348138
"December 07, 1973",22:29,"Moscow, USSR",Aeroflot,964,Mineral Waters - Moscow,Tupolev TU-104B,CCCP-42503,21901,75,13,0,The aircraft crashed after the wing touched the ground while landing short of the runway. Crew error in not executing a missed approach.,55.751389,37.534444
"December 07, 1980",16:47,"Michigan City, IN",Queen Airmotive - Air Taxi,?,"Chicago, IL - Michigan City, IL",Beechcraft B90,N2181L,LW-181,4,4,0,Crashed on final approach and came to rest in water. Elevator assembly detached due to missing bolt.,41.70753939999999,-86.8950297
"December 07, 1982",19:10,"Near Pueblo, Colorado",Pioneer Airlines,?,"Sante Fe, NM - Pueblo, CO",Swearingen SA.227AC Metro III,N30093,AC-449,2,2,0,The cargo plane flew into a hill while descending to land. The pilot may have had a physical imparement.,38.2544472,-104.6091409
"December 07, 1983",c 09:40,"Near Madrid, Spain",Iberia Airlines / Aviaco,350/134,Madrid - Rome,Boeing B-727-200 / DC9-32,EC-CFJ/EC-CGS,20820 / 47645,135,93,0,"While taking off, the B-727 struck the DC-9 on the runway in poor visibility, fog and snow. Because of poor visibility and inadequate signs and markings the, DC-9 inadvertently wandered on the runway being used by the B-727 to take off. The airport had no ground radar. Fifty-one aboard the 727 and all 42 aboard the DC-9 were killed. Mexican actress,  María ""Fanny Cano"" Damián, 39, among those killed.",40.4167754,-3.7037902
